variableMetadata	accession	description	uniprot_id
Q63932_Dual specificity mitogen.	sp|Q63932|MP2K2_MOUSE	Dual specificity mitogen-activated protein kinase kinase 2  OS=Mus musculus (Mouse) GN=Map2k2 PE=1 SV=2	Q63932
Q3THE2_Myosin regulatory light .	sp|Q3THE2|ML12B_MOUSE	Myosin regulatory light chain 12B  OS=Mus musculus (Mouse) GN=Myl12b PE=1 SV=2	Q3THE2
P49935_Pro-cathepsin H	sp|P49935|CATH_MOUSE	Pro-cathepsin H  OS=Mus musculus (Mouse) GN=Ctsh PE=1 SV=2	P49935
Q05D44_Eukaryotic translation i.	sp|Q05D44|IF2P_MOUSE	Eukaryotic translation initiation factor 5B  OS=Mus musculus (Mouse) GN=Eif5b PE=1 SV=2	Q05D44
Q9CPX6_Ubiquitin-like-conjugati.	sp|Q9CPX6|ATG3_MOUSE	Ubiquitin-like-conjugating enzyme ATG3  OS=Mus musculus (Mouse) GN=Atg3 PE=1 SV=1	Q9CPX6
P59999_Actin-related protein 2/.	sp|P59999|ARPC4_MOUSE	Actin-related protein 2/3 complex subunit 4  OS=Mus musculus (Mouse) GN=Arpc4 PE=1 SV=3	P59999
Q8VEK0_Cell cycle control prote.	sp|Q8VEK0|CC50A_MOUSE	Cell cycle control protein 50A  OS=Mus musculus (Mouse) GN=Tmem30a PE=1 SV=1	Q8VEK0
Q8CFJ7_Solute carrier family 25.	sp|Q8CFJ7|S2545_MOUSE	Solute carrier family 25 member 45  OS=Mus musculus (Mouse) GN=Slc25a45 PE=1 SV=1	Q8CFJ7
P20918_Plasminogen	sp|P20918|PLMN_MOUSE	Plasminogen  OS=Mus musculus (Mouse) GN=Plg PE=1 SV=3	P20918
P61514_60S ribosomal protein L3.	sp|P61514|RL37A_MOUSE	60S ribosomal protein L37a  OS=Mus musculus (Mouse) GN=Rpl37a PE=1 SV=2	P61514
O09167_60S ribosomal protein L21	sp|O09167|RL21_MOUSE	60S ribosomal protein L21  OS=Mus musculus (Mouse) GN=Rpl21 PE=1 SV=3	O09167
P55258_Ras-related protein Rab-.	sp|P55258|RAB8A_MOUSE	Ras-related protein Rab-8A  OS=Mus musculus (Mouse) GN=Rab8a PE=1 SV=2	P55258
Q8K5B2_Multiple coagulation fac.	sp|Q8K5B2|MCFD2_MOUSE	Multiple coagulation factor deficiency protein 2 homolog  OS=Mus musculus (Mouse) GN=Mcfd2 PE=1 SV=1	Q8K5B2
Q9D358_Low molecular weight pho.	sp|Q9D358|PPAC_MOUSE	Low molecular weight phosphotyrosine protein phosphatase  OS=Mus musculus (Mouse) GN=Acp1 PE=1 SV=3	Q9D358
Q9R0Q9_Mannose-P-dolichol utili.	sp|Q9R0Q9|MPU1_MOUSE	Mannose-P-dolichol utilization defect 1 protein  OS=Mus musculus (Mouse) GN=Mpdu1 PE=1 SV=1	Q9R0Q9
Q9DAR7_m7GpppX diphosphatase	sp|Q9DAR7|DCPS_MOUSE	m7GpppX diphosphatase  OS=Mus musculus (Mouse) GN=Dcps PE=1 SV=1	Q9DAR7
P27612_Phospholipase A-2-activa.	sp|P27612|PLAP_MOUSE	Phospholipase A-2-activating protein  OS=Mus musculus (Mouse) GN=Plaa PE=1 SV=4	P27612
Q9CPU4_Microsomal glutathione S.	sp|Q9CPU4|MGST3_MOUSE	Microsomal glutathione S-transferase 3  OS=Mus musculus (Mouse) GN=Mgst3 PE=1 SV=1	Q9CPU4
P61358_60S ribosomal protein L27	sp|P61358|RL27_MOUSE	60S ribosomal protein L27  OS=Mus musculus (Mouse) GN=Rpl27 PE=1 SV=2	P61358
P23116_Eukaryotic translation i.	sp|P23116|EIF3A_MOUSE	Eukaryotic translation initiation factor 3 subunit A  OS=Mus musculus (Mouse) GN=Eif3a PE=1 SV=5	P23116
Q9DCX8_Iodotyrosine deiodinase 1	sp|Q9DCX8|IYD1_MOUSE	Iodotyrosine deiodinase 1  OS=Mus musculus (Mouse) GN=Iyd PE=1 SV=1	Q9DCX8
Q6PDM2_Serine/arginine-rich spl.	sp|Q6PDM2|SRSF1_MOUSE	Serine/arginine-rich splicing factor 1  OS=Mus musculus (Mouse) GN=Srsf1 PE=1 SV=3	Q6PDM2
O09159_Lysosomal alpha-mannosid.	sp|O09159|MA2B1_MOUSE	Lysosomal alpha-mannosidase  OS=Mus musculus (Mouse) GN=Man2b1 PE=1 SV=4	O09159
Q8K2C9_Very-long-chain (3R)-3-h.	sp|Q8K2C9|HACD3_MOUSE	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3  OS=Mus musculus (Mouse) GN=Hacd3 PE=1 SV=2	Q8K2C9
Q9CZW5_Mitochondrial import rec.	sp|Q9CZW5|TOM70_MOUSE	Mitochondrial import receptor subunit TOM70  OS=Mus musculus (Mouse) GN=Tomm70 PE=1 SV=2	Q9CZW5
Q3UGR5_Haloacid dehalogenase-li.	sp|Q3UGR5|HDHD2_MOUSE	Haloacid dehalogenase-like hydrolase domain-containing protein 2  OS=Mus musculus (Mouse) GN=Hdhd2 PE=1 SV=2	Q3UGR5
Q9JJU8_SH3 domain-binding gluta.	sp|Q9JJU8|SH3L1_MOUSE	SH3 domain-binding glutamic acid-rich-like protein  OS=Mus musculus (Mouse) GN=Sh3bgrl PE=1 SV=1	Q9JJU8
P06330_Ig heavy chain V region .	sp|P06330|HVM51_MOUSE	Ig heavy chain V region AC38 205.12  OS=Mus musculus (Mouse) PE=1 SV=1	P06330
Q62446_Peptidyl-prolyl cis-tran.	sp|Q62446|FKBP3_MOUSE	Peptidyl-prolyl cis-trans isomerase FKBP3  OS=Mus musculus (Mouse) GN=Fkbp3 PE=1 SV=2	Q62446
P61164_Alpha-centractin	sp|P61164|ACTZ_MOUSE	Alpha-centractin  OS=Mus musculus (Mouse) GN=Actr1a PE=1 SV=1	P61164
P23780_Beta-galactosidase	sp|P23780|BGAL_MOUSE	Beta-galactosidase  OS=Mus musculus (Mouse) GN=Glb1 PE=1 SV=1	P23780
Q64505_Cholesterol 7-alpha-mono.	sp|Q64505|CP7A1_MOUSE	Cholesterol 7-alpha-monooxygenase  OS=Mus musculus (Mouse) GN=Cyp7a1 PE=2 SV=2	Q64505
Q8BFZ9_Erlin-2	sp|Q8BFZ9|ERLN2_MOUSE	Erlin-2  OS=Mus musculus (Mouse) GN=Erlin2 PE=1 SV=1	Q8BFZ9
P21278_Guanine nucleotide-bindi.	sp|P21278|GNA11_MOUSE	Guanine nucleotide-binding protein subunit alpha-11  OS=Mus musculus (Mouse) GN=Gna11 PE=1 SV=1	P21278
P62715_Serine/threonine-protein.	sp|P62715|PP2AB_MOUSE	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform  OS=Mus musculus (Mouse) GN=Ppp2cb PE=1 SV=1	P62715
Q61419_Cytidine monophosphate-N.	sp|Q61419|CMAH_MOUSE	Cytidine monophosphate-N-acetylneuraminic acid hydroxylase  OS=Mus musculus (Mouse) GN=Cmah PE=1 SV=1	Q61419
P36536_GTP-binding protein SAR1a	sp|P36536|SAR1A_MOUSE	GTP-binding protein SAR1a  OS=Mus musculus (Mouse) GN=Sar1a PE=1 SV=1	P36536
Q9DBZ5_Eukaryotic translation i.	sp|Q9DBZ5|EIF3K_MOUSE	Eukaryotic translation initiation factor 3 subunit K  OS=Mus musculus (Mouse) GN=Eif3k PE=1 SV=1	Q9DBZ5
Q99P72_Reticulon-4	sp|Q99P72|RTN4_MOUSE	Reticulon-4  OS=Mus musculus (Mouse) GN=Rtn4 PE=1 SV=2	Q99P72
Q8CHP8_Glycerol-3-phosphate pho.	sp|Q8CHP8|PGP_MOUSE	Glycerol-3-phosphate phosphatase  OS=Mus musculus (Mouse) GN=Pgp PE=1 SV=1	Q8CHP8
Q6PA06_Atlastin-2	sp|Q6PA06|ATLA2_MOUSE	Atlastin-2  OS=Mus musculus (Mouse) GN=Atl2 PE=1 SV=1	Q6PA06
P16045_Galectin-1	sp|P16045|LEG1_MOUSE	Galectin-1  OS=Mus musculus (Mouse) GN=Lgals1 PE=1 SV=3	P16045
P35279_Ras-related protein Rab-.	sp|P35279|RAB6A_MOUSE	Ras-related protein Rab-6A  OS=Mus musculus (Mouse) GN=Rab6a PE=1 SV=4	P35279
Q6ZWU9_40S ribosomal protein S27	sp|Q6ZWU9|RS27_MOUSE	40S ribosomal protein S27  OS=Mus musculus (Mouse) GN=Rps27 PE=1 SV=3	Q6ZWU9
Q9DCT1_1,5-anhydro-D-fructose r.	sp|Q9DCT1|AKCL2_MOUSE	1,5-anhydro-D-fructose reductase  OS=Mus musculus (Mouse) GN=Akr1e2 PE=1 SV=1	Q9DCT1
P19536_Cytochrome c oxidase sub.	sp|P19536|COX5B_MOUSE	Cytochrome c oxidase subunit 5B, mitochondrial  OS=Mus musculus (Mouse) GN=Cox5b PE=1 SV=1	P19536
O35350_Calpain-1 catalytic subu.	sp|O35350|CAN1_MOUSE	Calpain-1 catalytic subunit  OS=Mus musculus (Mouse) GN=Capn1 PE=1 SV=1	O35350
O35887_Calumenin	sp|O35887|CALU_MOUSE	Calumenin  OS=Mus musculus (Mouse) GN=Calu PE=1 SV=1	O35887
P35123_Ubiquitin carboxyl-termi.	sp|P35123|UBP4_MOUSE	Ubiquitin carboxyl-terminal hydrolase 4  OS=Mus musculus (Mouse) GN=Usp4 PE=1 SV=3	P35123
P01029_Complement C4-B	sp|P01029|CO4B_MOUSE	Complement C4-B  OS=Mus musculus (Mouse) GN=C4b PE=1 SV=3	P01029
P60122_RuvB-like 1	sp|P60122|RUVB1_MOUSE	RuvB-like 1  OS=Mus musculus (Mouse) GN=Ruvbl1 PE=1 SV=1	P60122
O08529_Calpain-2 catalytic subu.	sp|O08529|CAN2_MOUSE	Calpain-2 catalytic subunit  OS=Mus musculus (Mouse) GN=Capn2 PE=1 SV=4	O08529
Q9CXA2_Trans-L-3-hydroxyproline.	sp|Q9CXA2|T3HPD_MOUSE	Trans-L-3-hydroxyproline dehydratase  OS=Mus musculus (Mouse) GN=L3hypdh PE=1 SV=1	Q9CXA2
Q03311_Cholinesterase	sp|Q03311|CHLE_MOUSE	Cholinesterase  OS=Mus musculus (Mouse) GN=Bche PE=1 SV=2	Q03311
Q8K3J1_NADH dehydrogenase [ubiq.	sp|Q8K3J1|NDUS8_MOUSE	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial  OS=Mus musculus (Mouse) GN=Ndufs8 PE=1 SV=1	Q8K3J1
P62900_60S ribosomal protein L31	sp|P62900|RL31_MOUSE	60S ribosomal protein L31  OS=Mus musculus (Mouse) GN=Rpl31 PE=1 SV=1	P62900
Q99KF1_Transmembrane emp24 doma.	sp|Q99KF1|TMED9_MOUSE	Transmembrane emp24 domain-containing protein 9  OS=Mus musculus (Mouse) GN=Tmed9 PE=1 SV=2	Q99KF1
Q78IK2_Up-regulated during skel.	sp|Q78IK2|USMG5_MOUSE	Up-regulated during skeletal muscle growth protein 5  OS=Mus musculus (Mouse) GN=Usmg5 PE=1 SV=1	Q78IK2
Q9CR61_NADH dehydrogenase [ubiq.	sp|Q9CR61|NDUB7_MOUSE	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7  OS=Mus musculus (Mouse) GN=Ndufb7 PE=1 SV=3	Q9CR61
Q9WUP7_Ubiquitin carboxyl-termi.	sp|Q9WUP7|UCHL5_MOUSE	Ubiquitin carboxyl-terminal hydrolase isozyme L5  OS=Mus musculus (Mouse) GN=Uchl5 PE=1 SV=2	Q9WUP7
P62852_40S ribosomal protein S25	sp|P62852|RS25_MOUSE	40S ribosomal protein S25  OS=Mus musculus (Mouse) GN=Rps25 PE=1 SV=1	P62852
Q9CQC7_NADH dehydrogenase [ubiq.	sp|Q9CQC7|NDUB4_MOUSE	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4  OS=Mus musculus (Mouse) GN=Ndufb4 PE=1 SV=3	Q9CQC7
Q9CYN2_Signal peptidase complex.	sp|Q9CYN2|SPCS2_MOUSE	Signal peptidase complex subunit 2  OS=Mus musculus (Mouse) GN=Spcs2 PE=1 SV=1	Q9CYN2
Q3TDN2_FAS-associated factor 2	sp|Q3TDN2|FAF2_MOUSE	FAS-associated factor 2  OS=Mus musculus (Mouse) GN=Faf2 PE=1 SV=2	Q3TDN2
P61089_Ubiquitin-conjugating en.	sp|P61089|UBE2N_MOUSE	Ubiquitin-conjugating enzyme E2 N  OS=Mus musculus (Mouse) GN=Ube2n PE=1 SV=1	P61089
P12815_Programmed cell death pr.	sp|P12815|PDCD6_MOUSE	Programmed cell death protein 6  OS=Mus musculus (Mouse) GN=Pdcd6 PE=1 SV=2	P12815
Q9WUR9_Adenylate kinase 4, mito.	sp|Q9WUR9|KAD4_MOUSE	Adenylate kinase 4, mitochondrial  OS=Mus musculus (Mouse) GN=Ak4 PE=1 SV=1	Q9WUR9
P28656_Nucleosome assembly prot.	sp|P28656|NP1L1_MOUSE	Nucleosome assembly protein 1-like 1  OS=Mus musculus (Mouse) GN=Nap1l1 PE=1 SV=2	P28656
P11930_Nucleoside diphosphate-l.	sp|P11930|NUD19_MOUSE	Nucleoside diphosphate-linked moiety X motif 19  OS=Mus musculus (Mouse) GN=Nudt19 PE=1 SV=2	P11930
P62315_Small nuclear ribonucleo.	sp|P62315|SMD1_MOUSE	Small nuclear ribonucleoprotein Sm D1  OS=Mus musculus (Mouse) GN=Snrpd1 PE=1 SV=1	P62315
P15864_Histone H1.2	sp|P15864|H12_MOUSE	Histone H1.2  OS=Mus musculus (Mouse) GN=Hist1h1c PE=1 SV=2	P15864
Q04447_Creatine kinase B-type	sp|Q04447|KCRB_MOUSE	Creatine kinase B-type  OS=Mus musculus (Mouse) GN=Ckb PE=1 SV=1	Q04447
Q9CQH3_NADH dehydrogenase [ubiq.	sp|Q9CQH3|NDUB5_MOUSE	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial  OS=Mus musculus (Mouse) GN=Ndufb5 PE=1 SV=1	Q9CQH3
O88696_ATP-dependent Clp protea.	sp|O88696|CLPP_MOUSE	ATP-dependent Clp protease proteolytic subunit, mitochondrial  OS=Mus musculus (Mouse) GN=Clpp PE=1 SV=1	O88696
P24547_Inosine-5'-monophosphate.	sp|P24547|IMDH2_MOUSE	Inosine-5'-monophosphate dehydrogenase 2  OS=Mus musculus (Mouse) GN=Impdh2 PE=1 SV=2	P24547
Q64152_Transcription factor BTF3	sp|Q64152|BTF3_MOUSE	Transcription factor BTF3  OS=Mus musculus (Mouse) GN=Btf3 PE=1 SV=3	Q64152
Q8K023_Aldo-keto reductase fami.	sp|Q8K023|AKC1H_MOUSE	Aldo-keto reductase family 1 member C18  OS=Mus musculus (Mouse) GN=Akr1c18 PE=1 SV=2	Q8K023
Q8BJW6_Eukaryotic translation i.	sp|Q8BJW6|EIF2A_MOUSE	Eukaryotic translation initiation factor 2A  OS=Mus musculus (Mouse) GN=Eif2a PE=1 SV=2	Q8BJW6
Q9ERR7_Selenoprotein F	sp|Q9ERR7|SEP15_MOUSE	Selenoprotein F  OS=Mus musculus (Mouse) GN=Selenof PE=1 SV=3	Q9ERR7
P61804_Dolichyl-diphosphooligos.	sp|P61804|DAD1_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1  OS=Mus musculus (Mouse) GN=Dad1 PE=1 SV=3	P61804
Q9CRC0_Vitamin K epoxide reduct.	sp|Q9CRC0|VKOR1_MOUSE	Vitamin K epoxide reductase complex subunit 1  OS=Mus musculus (Mouse) GN=Vkorc1 PE=1 SV=1	Q9CRC0
Q61147_Ceruloplasmin	sp|Q61147|CERU_MOUSE	Ceruloplasmin  OS=Mus musculus (Mouse) GN=Cp PE=1 SV=2	Q61147
Q80Y14_Glutaredoxin-related pro.	sp|Q80Y14|GLRX5_MOUSE	Glutaredoxin-related protein 5, mitochondrial  OS=Mus musculus (Mouse) GN=Glrx5 PE=1 SV=2	Q80Y14
P56135_ATP synthase subunit f, .	sp|P56135|ATPK_MOUSE	ATP synthase subunit f, mitochondrial  OS=Mus musculus (Mouse) GN=Atp5j2 PE=1 SV=3	P56135
Q9JHW4_Selenocysteine-specific .	sp|Q9JHW4|SELB_MOUSE	Selenocysteine-specific elongation factor  OS=Mus musculus (Mouse) GN=Eefsec PE=1 SV=2	Q9JHW4
Q9CXW3_Calcyclin-binding protein	sp|Q9CXW3|CYBP_MOUSE	Calcyclin-binding protein  OS=Mus musculus (Mouse) GN=Cacybp PE=1 SV=1	Q9CXW3
Q9JIZ0_Probable N-acetyltransfe.	sp|Q9JIZ0|CMLO1_MOUSE	Probable N-acetyltransferase CML1  OS=Mus musculus (Mouse) GN=Cml1 PE=1 SV=1	Q9JIZ0
Q5SW19_Clustered mitochondria p.	sp|Q5SW19|CLU_MOUSE	Clustered mitochondria protein homolog  OS=Mus musculus (Mouse) GN=Cluh PE=1 SV=2	Q5SW19
P48024_Eukaryotic translation i.	sp|P48024|EIF1_MOUSE	Eukaryotic translation initiation factor 1  OS=Mus musculus (Mouse) GN=Eif1 PE=1 SV=2	P48024
Q99KV1_DnaJ homolog subfamily B.	sp|Q99KV1|DJB11_MOUSE	DnaJ homolog subfamily B member 11  OS=Mus musculus (Mouse) GN=Dnajb11 PE=1 SV=1	Q99KV1
Q9D5T0_ATPase family AAA domain.	sp|Q9D5T0|ATAD1_MOUSE	ATPase family AAA domain-containing protein 1  OS=Mus musculus (Mouse) GN=Atad1 PE=1 SV=1	Q9D5T0
Q924T2_28S ribosomal protein S2.	sp|Q924T2|RT02_MOUSE	28S ribosomal protein S2, mitochondrial  OS=Mus musculus (Mouse) GN=Mrps2 PE=1 SV=1	Q924T2
P17439_Glucosylceramidase	sp|P17439|GLCM_MOUSE	Glucosylceramidase  OS=Mus musculus (Mouse) GN=Gba PE=1 SV=1	P17439
Q91W50_Cold shock domain-contai.	sp|Q91W50|CSDE1_MOUSE	Cold shock domain-containing protein E1  OS=Mus musculus (Mouse) GN=Csde1 PE=1 SV=1	Q91W50
P70245_3-beta-hydroxysteroid-De.	sp|P70245|EBP_MOUSE	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase  OS=Mus musculus (Mouse) GN=Ebp PE=1 SV=3	P70245
Q91XL9_Oxysterol-binding protei.	sp|Q91XL9|OSBL1_MOUSE	Oxysterol-binding protein-related protein 1  OS=Mus musculus (Mouse) GN=Osbpl1a PE=1 SV=2	Q91XL9
Q9R0Q3_Transmembrane emp24 doma.	sp|Q9R0Q3|TMED2_MOUSE	Transmembrane emp24 domain-containing protein 2  OS=Mus musculus (Mouse) GN=Tmed2 PE=1 SV=1	Q9R0Q3
Q9WTX5_S-phase kinase-associate.	sp|Q9WTX5|SKP1_MOUSE	S-phase kinase-associated protein 1  OS=Mus musculus (Mouse) GN=Skp1 PE=1 SV=3	Q9WTX5
Q91YM4_FAST kinase domain-conta.	sp|Q91YM4|FAKD4_MOUSE	FAST kinase domain-containing protein 4  OS=Mus musculus (Mouse) GN=Tbrg4 PE=1 SV=1	Q91YM4
Q9JIM1_Equilibrative nucleoside.	sp|Q9JIM1|S29A1_MOUSE	Equilibrative nucleoside transporter 1  OS=Mus musculus (Mouse) GN=Slc29a1 PE=1 SV=3	Q9JIM1
Q9ERF3_WD repeat-containing pro.	sp|Q9ERF3|WDR61_MOUSE	WD repeat-containing protein 61  OS=Mus musculus (Mouse) GN=Wdr61 PE=1 SV=1	Q9ERF3
Q9JKJ9_24-hydroxycholesterol 7-.	sp|Q9JKJ9|CP39A_MOUSE	24-hydroxycholesterol 7-alpha-hydroxylase  OS=Mus musculus (Mouse) GN=Cyp39a1 PE=1 SV=1	Q9JKJ9
Q99JT9_1,2-dihydroxy-3-keto-5-m.	sp|Q99JT9|MTND_MOUSE	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase  OS=Mus musculus (Mouse) GN=Adi1 PE=1 SV=1	Q99JT9
Q9CZD3_Glycine--tRNA ligase	sp|Q9CZD3|GARS_MOUSE	Glycine--tRNA ligase  OS=Mus musculus (Mouse) GN=Gars PE=1 SV=1	Q9CZD3
Q3THK7_GMP synthase [glutamine-.	sp|Q3THK7|GUAA_MOUSE	GMP synthase [glutamine-hydrolyzing]  OS=Mus musculus (Mouse) GN=Gmps PE=1 SV=2	Q3THK7
Q9EPL8_Importin-7	sp|Q9EPL8|IPO7_MOUSE	Importin-7  OS=Mus musculus (Mouse) GN=Ipo7 PE=1 SV=2	Q9EPL8
P54726_UV excision repair prote.	sp|P54726|RD23A_MOUSE	UV excision repair protein RAD23 homolog A  OS=Mus musculus (Mouse) GN=Rad23a PE=1 SV=2	P54726
P54823_Probable ATP-dependent R.	sp|P54823|DDX6_MOUSE	Probable ATP-dependent RNA helicase DDX6  OS=Mus musculus (Mouse) GN=Ddx6 PE=1 SV=1	P54823
P62855_40S ribosomal protein S26	sp|P62855|RS26_MOUSE	40S ribosomal protein S26  OS=Mus musculus (Mouse) GN=Rps26 PE=1 SV=3	P62855
Q78ZA7_Nucleosome assembly prot.	sp|Q78ZA7|NP1L4_MOUSE	Nucleosome assembly protein 1-like 4  OS=Mus musculus (Mouse) GN=Nap1l4 PE=1 SV=1	Q78ZA7
Q8VDP6_CDP-diacylglycerol--inos.	sp|Q8VDP6|CDIPT_MOUSE	CDP-diacylglycerol--inositol 3-phosphatidyltransferase  OS=Mus musculus (Mouse) GN=Cdipt PE=1 SV=1	Q8VDP6
P32233_Developmentally-regulate.	sp|P32233|DRG1_MOUSE	Developmentally-regulated GTP-binding protein 1  OS=Mus musculus (Mouse) GN=Drg1 PE=1 SV=1	P32233
Q91YX5_Acyl-CoA:lysophosphatidy.	sp|Q91YX5|LGAT1_MOUSE	Acyl-CoA:lysophosphatidylglycerol acyltransferase 1  OS=Mus musculus (Mouse) GN=Lpgat1 PE=1 SV=1	Q91YX5
Q9JKB1_Ubiquitin carboxyl-termi.	sp|Q9JKB1|UCHL3_MOUSE	Ubiquitin carboxyl-terminal hydrolase isozyme L3  OS=Mus musculus (Mouse) GN=Uchl3 PE=1 SV=2	Q9JKB1
O35381_Acidic leucine-rich nucl.	sp|O35381|AN32A_MOUSE	Acidic leucine-rich nuclear phosphoprotein 32 family member A  OS=Mus musculus (Mouse) GN=Anp32a PE=1 SV=1	O35381
Q9CZP5_Mitochondrial chaperone .	sp|Q9CZP5|BCS1_MOUSE	Mitochondrial chaperone BCS1  OS=Mus musculus (Mouse) GN=Bcs1l PE=1 SV=1	Q9CZP5
Q9D1L0_Coiled-coil-helix-coiled.	sp|Q9D1L0|CHCH2_MOUSE	Coiled-coil-helix-coiled-coil-helix domain-containing protein 2  OS=Mus musculus (Mouse) GN=Chchd2 PE=2 SV=1	Q9D1L0
Q8BVE3_V-type proton ATPase sub.	sp|Q8BVE3|VATH_MOUSE	V-type proton ATPase subunit H  OS=Mus musculus (Mouse) GN=Atp6v1h PE=1 SV=1	Q8BVE3
Q9JJW0_Peroxisomal membrane pro.	sp|Q9JJW0|PXMP4_MOUSE	Peroxisomal membrane protein 4  OS=Mus musculus (Mouse) GN=Pxmp4 PE=1 SV=3	Q9JJW0
Q9JJI8_60S ribosomal protein L38	sp|Q9JJI8|RL38_MOUSE	60S ribosomal protein L38  OS=Mus musculus (Mouse) GN=Rpl38 PE=1 SV=3	Q9JJI8
Q9Z211_Peroxisomal membrane pro.	sp|Q9Z211|PX11A_MOUSE	Peroxisomal membrane protein 11A  OS=Mus musculus (Mouse) GN=Pex11a PE=1 SV=1	Q9Z211
P26369_Splicing factor U2AF 65 .	sp|P26369|U2AF2_MOUSE	Splicing factor U2AF 65 kDa subunit  OS=Mus musculus (Mouse) GN=U2af2 PE=1 SV=3	P26369
Q61578_NADPH:adrenodoxin oxidor.	sp|Q61578|ADRO_MOUSE	NADPH:adrenodoxin oxidoreductase, mitochondrial  OS=Mus musculus (Mouse) GN=Fdxr PE=1 SV=1	Q61578
Q9DBC7_cAMP-dependent protein k.	sp|Q9DBC7|KAP0_MOUSE	cAMP-dependent protein kinase type I-alpha regulatory subunit  OS=Mus musculus (Mouse) GN=Prkar1a PE=1 SV=3	Q9DBC7
P01872_Immunoglobulin heavy con.	sp|P01872|IGHM_MOUSE	Immunoglobulin heavy constant mu  OS=Mus musculus (Mouse) GN=Ighm PE=1 SV=2	P01872
P05132_cAMP-dependent protein k.	sp|P05132|KAPCA_MOUSE	cAMP-dependent protein kinase catalytic subunit alpha  OS=Mus musculus (Mouse) GN=Prkaca PE=1 SV=3	P05132
P22907_Porphobilinogen deaminase	sp|P22907|HEM3_MOUSE	Porphobilinogen deaminase  OS=Mus musculus (Mouse) GN=Hmbs PE=1 SV=2	P22907
O88441_Metaxin-2	sp|O88441|MTX2_MOUSE	Metaxin-2  OS=Mus musculus (Mouse) GN=Mtx2 PE=1 SV=1	O88441
Q9D8W7_OCIA domain-containing p.	sp|Q9D8W7|OCAD2_MOUSE	OCIA domain-containing protein 2  OS=Mus musculus (Mouse) GN=Ociad2 PE=1 SV=1	Q9D8W7
Q8JZQ2_AFG3-like protein 2	sp|Q8JZQ2|AFG32_MOUSE	AFG3-like protein 2  OS=Mus musculus (Mouse) GN=Afg3l2 PE=1 SV=1	Q8JZQ2
Q9R099_Transducin beta-like pro.	sp|Q9R099|TBL2_MOUSE	Transducin beta-like protein 2  OS=Mus musculus (Mouse) GN=Tbl2 PE=1 SV=2	Q9R099
Q9CXV1_Succinate dehydrogenase .	sp|Q9CXV1|DHSD_MOUSE	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial  OS=Mus musculus (Mouse) GN=Sdhd PE=1 SV=2	Q9CXV1
Q9CPQ8_ATP synthase subunit g, .	sp|Q9CPQ8|ATP5L_MOUSE	ATP synthase subunit g, mitochondrial  OS=Mus musculus (Mouse) GN=Atp5l PE=1 SV=1	Q9CPQ8
Q3UM45_Protein phosphatase 1 re.	sp|Q3UM45|PP1R7_MOUSE	Protein phosphatase 1 regulatory subunit 7  OS=Mus musculus (Mouse) GN=Ppp1r7 PE=1 SV=2	Q3UM45
P14115_60S ribosomal protein L2.	sp|P14115|RL27A_MOUSE	60S ribosomal protein L27a  OS=Mus musculus (Mouse) GN=Rpl27a PE=1 SV=5	P14115
O88958_Glucosamine-6-phosphate .	sp|O88958|GNPI1_MOUSE	Glucosamine-6-phosphate isomerase 1  OS=Mus musculus (Mouse) GN=Gnpda1 PE=1 SV=3	O88958
P54728_UV excision repair prote.	sp|P54728|RD23B_MOUSE	UV excision repair protein RAD23 homolog B  OS=Mus musculus (Mouse) GN=Rad23b PE=1 SV=2	P54728
P68181_cAMP-dependent protein k.	sp|P68181|KAPCB_MOUSE	cAMP-dependent protein kinase catalytic subunit beta  OS=Mus musculus (Mouse) GN=Prkacb PE=1 SV=2	P68181
O55023_Inositol monophosphatase.	sp|O55023|IMPA1_MOUSE	Inositol monophosphatase 1  OS=Mus musculus (Mouse) GN=Impa1 PE=1 SV=1	O55023
Q9DCC4_Pyrroline-5-carboxylate .	sp|Q9DCC4|P5CR3_MOUSE	Pyrroline-5-carboxylate reductase 3  OS=Mus musculus (Mouse) GN=Pycr3 PE=1 SV=2	Q9DCC4
P27046_Alpha-mannosidase 2	sp|P27046|MA2A1_MOUSE	Alpha-mannosidase 2  OS=Mus musculus (Mouse) GN=Man2a1 PE=1 SV=2	P27046
Q8BHD7_Polypyrimidine tract-bin.	sp|Q8BHD7|PTBP3_MOUSE	Polypyrimidine tract-binding protein 3  OS=Mus musculus (Mouse) GN=Ptbp3 PE=1 SV=1	Q8BHD7
Q9ER72_Cysteine--tRNA ligase, c.	sp|Q9ER72|SYCC_MOUSE	Cysteine--tRNA ligase, cytoplasmic  OS=Mus musculus (Mouse) GN=Cars PE=1 SV=2	Q9ER72
